"NGenes","Direction","PValue","BH_FDR_five_sets_within_cell_type_supplementary","gene_set","Correlation","cell_type","minimum_nuclei","correlation_method","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors","BH_FDR_70_tests_within_threshold_and_correlation_method_supplementary"
90,"Up",0.614240086804871,0.856551768184421,"Targets predicted for any chemical form",0.0161601683183941,"Astrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
8,"Down",0.619897430953745,0.918789764655117,"Targets predicted for all chemical forms",-0.0353950754178587,"PLI",10,"estimated",FALSE,107,16,91,0.954325131224468
90,"Down",0.622249520014919,0.777811900018649,"Targets predicted for any chemical form",0.00935880692507861,"MLI_1",10,"estimated",FALSE,108,16,92,0.954325131224468
7,"Up",0.635857630393451,0.874692271417198,"Carbonic anhydrase family",0.0330613040583293,"MLI_2",10,"estimated",FALSE,106,16,90,0.954325131224468
11,"Up",0.638067277622493,0.714148293800628,"Carbonic anhydrase family",-0.00730655248078881,"Bergmann",10,"estimated",FALSE,108,16,92,0.954325131224468
28,"Up",0.644578009371582,0.924625762518113,"Targets predicted for any sulfate or glucuronide conjugate",0.00937570694309537,"Pericytes",10,"estimated",FALSE,102,16,86,0.954325131224468
88,"Up",0.645420005728323,0.799624457240979,"Targets predicted for any chemical form",0.0101809867920771,"Microglia",10,"estimated",FALSE,108,16,92,0.954325131224468
8,"Up",0.651841267040352,0.940691915064118,"Carbonic anhydrase family",-0.0263211039831496,"OPC",10,"estimated",FALSE,108,16,92,0.954325131224468
17,"Down",0.68835727636454,0.714148293800628,"Targets predicted for all chemical forms",0.00265538281038663,"Bergmann",10,"estimated",FALSE,108,16,92,0.954325131224468
73,"Up",0.691431725285253,0.856551768184421,"Targets predicted for any sulfate or glucuronide conjugate",0.0153962231351249,"Astrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
22,"Down",0.70047658483179,0.809030210562962,"Targets predicted for all sulfate and glucuronide conjugates",-0.00302410422752149,"Purkinje",10,"estimated",FALSE,108,16,92,0.954325131224468
68,"Up",0.70641308847697,0.868212139446699,"Targets predicted for any chemical form",0.00810927966196449,"Golgi",10,"estimated",FALSE,106,16,90,0.954325131224468
34,"Down",0.714148293800628,0.714148293800628,"Targets predicted for all sulfate and glucuronide conjugates",0.00741619774118266,"Bergmann",10,"estimated",FALSE,108,16,92,0.954325131224468
65,"Down",0.723030170539008,0.93316534176381,"Targets predicted for any sulfate or glucuronide conjugate",0.0220556837411901,"Endocytes",10,"estimated",FALSE,107,16,91,0.954325131224468
69,"Down",0.738610876692946,0.940691915064118,"Targets predicted for any sulfate or glucuronide conjugate",0.0137848295685129,"OPC",10,"estimated",FALSE,108,16,92,0.954325131224468
54,"Up",0.745622071161593,0.868212139446699,"Targets predicted for any sulfate or glucuronide conjugate",0.00371427362165494,"Golgi",10,"estimated",FALSE,106,16,90,0.954325131224468
60,"Down",0.762665418076674,0.874692271417198,"Targets predicted for any sulfate or glucuronide conjugate",0.00589483991080544,"MLI_2",10,"estimated",FALSE,106,16,90,0.954325131224468
14,"Down",0.785978958094274,0.856551768184421,"Targets predicted for all chemical forms",0.002189324779729,"Astrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
9,"Down",0.794621377439799,0.924625762518113,"Targets predicted for all sulfate and glucuronide conjugates",0.00555984470434945,"Pericytes",10,"estimated",FALSE,102,16,86,0.954325131224468
70,"Down",0.799624457240979,0.799624457240979,"Targets predicted for any sulfate or glucuronide conjugate",0.0100821590705627,"Microglia",10,"estimated",FALSE,108,16,92,0.954325131224468
11,"Down",0.804189653748578,0.809030210562962,"Targets predicted for all chemical forms",-0.0228000427794689,"Purkinje",10,"estimated",FALSE,108,16,92,0.954325131224468
8,"Down",0.809030210562962,0.809030210562962,"Carbonic anhydrase family",-0.0609342721213518,"Purkinje",10,"estimated",FALSE,108,16,92,0.954325131224468
5,"Up",0.834038240971575,0.834038240971575,"Carbonic anhydrase family",-0.00720288767268931,"UBC",10,"estimated",FALSE,107,16,91,0.954325131224468
75,"Down",0.838216224924149,0.874692271417198,"Targets predicted for any chemical form",0.00830203530435192,"MLI_2",10,"estimated",FALSE,106,16,90,0.954325131224468
48,"Up",0.84579674817024,0.918789764655117,"Targets predicted for any sulfate or glucuronide conjugate",0.0120021744737829,"PLI",10,"estimated",FALSE,107,16,91,0.954325131224468
26,"Up",0.856551768184421,0.856551768184421,"Targets predicted for all sulfate and glucuronide conjugates",0.0135942479600771,"Astrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
7,"Up",0.868212139446699,0.868212139446699,"Carbonic anhydrase family",-0.0451174379935005,"Golgi",10,"estimated",FALSE,106,16,90,0.954325131224468
23,"Up",0.874692271417198,0.874692271417198,"Targets predicted for all sulfate and glucuronide conjugates",-0.000639782488730534,"MLI_2",10,"estimated",FALSE,106,16,90,0.954325131224468
22,"Up",0.879401171481833,0.93316534176381,"Targets predicted for all sulfate and glucuronide conjugates",0.0128169181733496,"Endocytes",10,"estimated",FALSE,107,16,91,0.954325131224468
94,"Up",0.880996522810881,0.896754558407418,"Targets predicted for any chemical form",0.0133757655661104,"Oligodendrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
77,"Down",0.896754558407418,0.896754558407418,"Targets predicted for any sulfate or glucuronide conjugate",0.0110616643359326,"Oligodendrocytes",10,"estimated",FALSE,108,16,92,0.954325131224468
26,"Down",0.903942922227524,0.940691915064118,"Targets predicted for all sulfate and glucuronide conjugates",0.0123716194087247,"OPC",10,"estimated",FALSE,108,16,92,0.954325131224468
18,"Down",0.907927880437831,0.918789764655117,"Targets predicted for all sulfate and glucuronide conjugates",0.00110356787241559,"PLI",10,"estimated",FALSE,107,16,91,0.954325131224468
57,"Up",0.918789764655117,0.918789764655117,"Targets predicted for any chemical form",0.0107147476652369,"PLI",10,"estimated",FALSE,107,16,91,0.954325131224468
34,"Up",0.924625762518113,0.924625762518113,"Targets predicted for any chemical form",0.00664418899167293,"Pericytes",10,"estimated",FALSE,102,16,86,0.954325131224468
81,"Down",0.93316534176381,0.93316534176381,"Targets predicted for any chemical form",0.0204150807750225,"Endocytes",10,"estimated",FALSE,107,16,91,0.954325131224468
88,"Up",0.940691915064118,0.940691915064118,"Targets predicted for any chemical form",0.016154617627099,"OPC",10,"estimated",FALSE,108,16,92,0.954325131224468
13,"Up",0.989309841664952,0.989309841664952,"Targets predicted for all chemical forms",-0.00266375488989497,"MLI_1",10,"estimated",FALSE,108,16,92,0.989309841664952
3,"Up",0.0520137080925143,0.260068540462571,"Carbonic anhydrase family",0.01,"Pericytes",10,"fixed_0.01",FALSE,102,16,86,0.946132979511012
7,"Up",0.0572494472274777,0.286247236137388,"Carbonic anhydrase family",0.01,"Endocytes",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
12,"Up",0.0688174085309764,0.344087042654882,"Carbonic anhydrase family",0.01,"Granule",10,"fixed_0.01",FALSE,109,16,93,0.946132979511012
9,"Up",0.0708404643543333,0.354202321771667,"Carbonic anhydrase family",0.01,"Oligodendrocytes",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
38,"Up",0.205734385786735,0.400203715171182,"Targets predicted for all sulfate and glucuronide conjugates",0.01,"Granule",10,"fixed_0.01",FALSE,109,16,93,0.946132979511012
12,"Down",0.231810270894023,0.790936795266174,"Targets predicted for all chemical forms",0.01,"Microglia",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
11,"Down",0.307066326506315,0.886155813945536,"Targets predicted for all chemical forms",0.01,"MLI_2",10,"fixed_0.01",FALSE,106,16,90,0.946132979511012
151,"Up",0.316613454344051,0.400203715171182,"Targets predicted for any chemical form",0.01,"Granule",10,"fixed_0.01",FALSE,109,16,93,0.946132979511012
117,"Up",0.320162972136945,0.400203715171182,"Targets predicted for any sulfate or glucuronide conjugate",0.01,"Granule",10,"fixed_0.01",FALSE,109,16,93,0.946132979511012
117,"Up",0.335523620078362,0.722324201133417,"Targets predicted for any chemical form",0.01,"Bergmann",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
8,"Up",0.366891538782756,0.783117363000624,"Carbonic anhydrase family",0.01,"MLI_1",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
9,"Up",0.366973823741485,0.851182966395363,"Carbonic anhydrase family",0.01,"Astrocytes",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
17,"Up",0.382833721737929,0.699032152496671,"Targets predicted for all sulfate and glucuronide conjugates",0.01,"UBC",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
8,"Up",0.384956813752023,0.699032152496671,"Targets predicted for all chemical forms",0.01,"UBC",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
6,"Up",0.394975073376035,0.917561827288732,"Carbonic anhydrase family",0.01,"PLI",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
93,"Up",0.42813840602671,0.722324201133417,"Targets predicted for any sulfate or glucuronide conjugate",0.01,"Bergmann",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
19,"Up",0.431152070943599,0.431152070943599,"Targets predicted for all chemical forms",0.01,"Granule",10,"fixed_0.01",FALSE,109,16,93,0.946132979511012
10,"Down",0.4382317935971,0.871637518821416,"Targets predicted for all chemical forms",0.01,"Golgi",10,"fixed_0.01",FALSE,106,16,90,0.946132979511012
26,"Down",0.438387111829827,0.790936795266174,"Targets predicted for all sulfate and glucuronide conjugates",0.01,"Microglia",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
58,"Up",0.452956746472467,0.699032152496671,"Targets predicted for any chemical form",0.01,"UBC",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
11,"Down",0.453410459085745,0.919068602738296,"Targets predicted for all chemical forms",0.01,"Endocytes",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
7,"Up",0.474562077159705,0.790936795266174,"Carbonic anhydrase family",0.01,"Microglia",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
75,"Up",0.477933197846452,0.814794603560874,"Targets predicted for any chemical form",0.01,"Purkinje",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
20,"Up",0.486536093655278,0.871637518821416,"Targets predicted for all sulfate and glucuronide conjugates",0.01,"Golgi",10,"fixed_0.01",FALSE,106,16,90,0.946132979511012
73,"Down",0.506718411767576,0.783117363000624,"Targets predicted for any sulfate or glucuronide conjugate",0.01,"MLI_1",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
14,"Down",0.518796984449635,0.894175582816405,"Targets predicted for all chemical forms",0.01,"Oligodendrocytes",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
48,"Up",0.559225721997336,0.699032152496671,"Targets predicted for any sulfate or glucuronide conjugate",0.01,"UBC",10,"fixed_0.01",FALSE,107,16,91,0.946132979511012
90,"Up",0.565981615245171,0.851182966395363,"Targets predicted for any chemical form",0.01,"Astrocytes",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
29,"Up",0.595017672726892,0.783117363000624,"Targets predicted for all sulfate and glucuronide conjugates",0.01,"MLI_1",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
13,"Down",0.598898966766881,0.932616794089426,"Targets predicted for all chemical forms",0.01,"OPC",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
60,"Up",0.610032283015683,0.814794603560874,"Targets predicted for any sulfate or glucuronide conjugate",0.01,"Purkinje",10,"fixed_0.01",FALSE,108,16,92,0.946132979511012
