"cell_type","omitted_et_donors","same_direction_fraction","nominal_p_lt_0_05_fraction","maximum_nominal_p","minimum_logFC","maximum_logFC"
"Astrocytes",16,1,1,0.0107573860474237,0.294022800474348,0.391645263257549
"Bergmann",16,1,1,0.0299879224606808,0.290059486396154,0.468428488248963
"Golgi",16,1,1,0.0216968536468877,-0.558210768026375,-0.409218049289744
"OPC",16,1,1,0.00251399522602984,0.303293298739266,0.38822336939939
"Purkinje",16,1,1,0.000718879283487945,-0.676389076666203,-0.539221362894119
"UBC",16,1,1,0.00515467005207119,-0.774476080279129,-0.573425385267788
