"gene_symbol","GSM5914873_A1_Control_4388","GSM5914876_A4_Control_5289","GSM5914881_B3_Control_HBF","GSM5914878_A6_Control_5508","GSM5914877_A5_Control_5420","GSM5914875_A3_Control_5287","GSM5914882_B4_Control_RADC","GSM5914884_B6_Control_RADC","GSM5914887_C3_Control_RADC","GSM5914886_C2_Control_RADC","GSM5914885_C1_Control_RADC","GSM5914880_B2_Control_5700","GSM5914883_B5_Control_RADC","GSM5914874_A2_Control_5227","GSM5914888_C4_Control_RADC","GSM5914879_B1_Control_5696","GSM5914890_C6_ET_4892","GSM5914894_D4_ET_5016","GSM5914889_C5_ET_4509","GSM5914910_G2_ET_5679","GSM5914892_D2_ET_4952","GSM5914895_D5_ET_5246","GSM5914893_D3_ET_4960","GSM5914912_G4_ET_5707","GSM5914906_F4_ET_5611","GSM5914899_E3_ET_5342","GSM5914904_F2_ET_5501","GSM5914900_E4_ET_5349","GSM5914902_E6_ET_5416","GSM5914907_F5_ET_5614","GSM5914905_F3_ET_5600","GSM5914903_F1_ET_5427","GSM5914901_E5_ET_5402","GSM5914896_D6_ET_5278","GSM5914897_E1_ET_5295","GSM5914898_E2_ET_5311","GSM5914891_D1_ET_4910","GSM5914908_F6_ET_5632","GSM5914911_G3_ET_5689","GSM5914909_G1_ET_5664"
"CA7",-2.35172642146007,-0.765551096450403,1.75361620227561,-0.163155953167191,1.90420944634932,0.00355582347666457,0.686599408112928,0.483162381363794,1.44747277530435,1.56205643894281,0.500606544389052,1.00970599402508,1.54338093953912,-0.920449667968853,1.06872180357221,-0.0288856788850795,0.823339929149615,-0.724165670652397,0.102004558593206,-1.10887793875755,-0.0430839541529605,-0.0982404962986894,0.741995735628899,-0.00745351955667292,-0.046811363668625,-0.200354203760756,-1.35539304490568,-0.490091536326102,0.330941813002364,-0.461122830965635,-1.35412170866758,-0.774197291845679,-0.808565022893847,-0.305594049341298,-1.40326584251983,-0.798477444987025,0.871156488308426,0.697388445373432,-1.64073787043516,0.32040788026028
"ADCY10",-0.0445667738357635,-0.782491493274203,-0.306630417414104,-0.755375011799542,0.157964557826073,-0.428794750256941,0.294534448784636,-0.87388243289122,-0.889788788168047,-0.646534458954762,-0.317499768449853,0.0498683269525092,-1.08614127598299,-0.783897296361871,-0.438508880334977,-0.349206682913071,-0.161386585880132,-0.0577485001646015,0.529715672573073,-0.158378241386818,-0.363680265073232,-0.0998460777259412,-0.593993677353512,0.715003698543233,1.07914259864576,0.0441622258731655,-0.0307356181990397,-0.633739064806744,-0.313888503988954,-0.522048441936114,1.0126936160577,3.46199030239774,-0.775773390329277,-0.695838406419472,-0.422872208887483,0.0194629926827336,-0.258703969863253,1.45403072653821,0.312209988818928,3.66117182695817
"TET3",1.07977237497243,-0.424839532361932,-0.303301352272548,-0.314914046327283,-0.989125776231106,-1.00926593859064,0.807347690057717,-0.437979976480471,-0.588566936180872,-0.90544006821394,-1.39754364415352,0.0215047190816859,-0.282293002323001,-0.64926787239258,-0.896370736783649,-0.756879281395283,0.919484398120479,0.450969816748515,0.204942341049027,0.349649268136787,-0.305019933897085,1.19863344922147,-0.174956054264118,1.12024293888697,0.00965517393662256,0.263677606414364,-0.0272143780462583,-0.451990805768731,-0.283714011140872,1.39351354054574,1.02856268728745,1.07929374426746,-1.18820778724145,-0.752352426685362,-0.941512477742511,-0.766011364739,0.0157226696181533,0.784600185421409,-0.904600674829422,4.02379547429543
"KDM6B",1.1775165463132,-0.373140394149633,-0.0521117194304704,0.0875703806659113,-1.25449186388886,-1.08345795829813,1.0227233910859,-0.833819023023434,-0.24179996910058,-1.25172496156979,-1.36145804063478,-0.033777024183664,0.0724911982874291,-1.07231743151468,-0.83790915982757,-0.893065801407306,0.942038387385456,1.9739844999424,0.920656979476646,-0.0911646823407392,0.219173601875479,1.41382985676242,-0.317028156584249,0.58686702129465,-0.152713562044546,0.315287695541043,-0.856123654678587,-0.582623169300676,-1.3017428539957,1.00427751197204,1.45249766194664,2.6752497446801,-0.658780105342463,0.539880370578972,-1.2877223673945,-0.907083588433403,0.453402164711288,-0.314426423811268,-0.451306079411061,1.35234097784655
"SIRT1",0.520305165585751,-0.367727670072199,-0.863703629117066,-0.236654936310961,-0.104573404843581,1.59695145199739,-1.24766148990704,-0.037813172417513,-1.42513019215532,-0.840354116738133,-0.530219742396024,-1.38699007328534,0.490419355055013,-1.3900102434831,-0.622587795097529,0.32945519599802,1.97331504568069,-0.386763546442542,1.15423906193247,0.145717634144119,-0.445910373338956,-1.40440654051259,-0.504843875210138,1.81326012881931,1.03888943417895,0.563826422233898,1.28609338409476,0.155576898984268,-0.322212504799646,-0.0409443882233088,1.23828874375587,1.26329082821086,-1.44660910257654,0.957246943778923,0.804474619711479,1.26554825455148,-1.00278592784041,-1.17998593523596,0.168957297450673,-0.977967206160105
"IGF1R",0.0305149400139,-2.08412447323473,-0.429834019504148,0.139132236686189,-2.11618298055223,-0.631636075004946,1.6311218822555,0.0571067652006826,0.251597962284256,-0.580040638051958,-0.566614242584434,-1.09010709758341,0.424330367815332,0.530742717389415,-0.502989817671423,-0.96745550674342,-1.67261499028831,0.270001371708647,-0.326005059383943,-0.483959136198051,-0.023807421955621,1.11547975987417,0.2111490914506,1.58256060732748,0.86842951751379,0.112142509680634,0.042639050620077,0.265735905225864,-0.563449046197939,1.68420403881197,2.18350186087339,0.464017236763748,-0.351960071697596,-0.62853536259528,-0.930920613124469,-0.810136555054483,0.199349822311899,1.89593550127073,-0.428099396943578,1.22877935929173
"PTGES",0.153068469671472,-0.64135759576662,-0.387460889794787,-0.590114573154381,-1.58846017459574,-0.128466896927947,-0.390992629711406,1.27264550873932,0.798406340736241,-1.81300765531416,-0.941635198958264,0.679525615392117,-0.604933629494312,-0.496201708852111,-1.50966731907979,-0.155631376449131,-1.70307728780839,-0.394320611621151,0.416285169126239,0.304915392663006,0.473677941169133,-0.638134837362815,0.909937637336284,0.522998471406886,2.78955853870987,2.39393138771771,0.519752166981513,-0.0639244114852555,-0.137613595062289,-0.321002605305964,1.46248896487493,0.614288804256197,-0.528921085617096,-0.267769620454563,-0.777484741729949,1.19415556137968,-0.939857659718354,0.274794051157937,0.718340888121406,-0.478734805175443
"PTGS1",0.540159479298671,1.09040614819158,0.0582813631675428,-0.799175545652274,-1.24182924444416,-0.375939752945442,-1.16677015074395,-0.0987692597422657,-1.09531401736321,-0.734881138779042,-0.618090084786748,-1.05879351798239,0.620795013737929,-0.960319595021111,-0.976189885923072,0.309669590524948,1.73108267556851,-0.444226166678912,-0.152390825831887,-0.400297931655038,0.102048252616432,1.94162561915915,-0.181763151561071,0.053191476394017,1.86467082938133,0.0980586313282429,1.59769954186984,-0.130271069970868,-0.0430894586228475,-0.7108252836247,-1.00236153709356,-0.571292155508923,-0.698058469891233,3.19999818388642,1.01763944282143,0.380385817622256,-0.610540305995169,-0.229735701035721,0.462285484592767,-0.767073299307453
