"gene_symbol","logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","predicted_for_any_chemical_form","predicted_for_all_chemical_forms","predicted_for_any_sulfate_or_glucuronide","predicted_for_all_sulfate_and_glucuronide_forms","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_all_target_gene_cell_type_tests_within_threshold_supplementary"
"CA12",0.856901079323845,0.704429296720319,13.4821649100555,0.000359294915081606,0.0228369999405773,TRUE,TRUE,TRUE,TRUE,"Granule",10,109,16,93,TRUE,0.0135141248704888
"HSD11B1",0.68722932188702,2.74043712103238,13.153428831504,0.000395921421566862,0.0206811243828304,TRUE,FALSE,TRUE,FALSE,"Oligodendrocytes",10,108,16,92,TRUE,0.0144263867983425
"EGFR",0.712343523217787,6.31957364765156,12.6547179647477,0.0005655193844929,0.0130994996399666,TRUE,FALSE,FALSE,FALSE,"Bergmann",10,108,16,92,TRUE,0.0199816849187491
"PPARA",0.537027906173087,4.69956377581662,12.2510425269596,0.000657031048684169,0.0368028641575452,TRUE,FALSE,TRUE,TRUE,"Astrocytes",10,108,16,92,TRUE,0.0221876418866263
"PRKCA",0.556414130646477,5.96911960889778,12.1470939177989,0.000666009833646586,0.115605285861392,TRUE,FALSE,TRUE,TRUE,"PLI",10,107,16,91,TRUE,0.0221876418866263
"PPARA",0.495286712552027,4.40968572197824,12.0787203764943,0.000701157186875245,0.0419068440387466,TRUE,FALSE,TRUE,TRUE,"OPC",10,108,16,92,TRUE,0.0227097022193482
"MME",-1.38771651609209,3.15403933168726,11.9746542314886,0.000776599620564092,0.0161117891466347,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.024473382637236
"PDE4B",-0.627492273227732,8.55386608893603,11.9860164430746,0.000801816837953709,0.0785308844231133,TRUE,FALSE,TRUE,FALSE,"Pericytes",10,102,16,86,TRUE,0.0246031166593165
"APEX1",-0.56321271497614,3.34627161794938,11.5425722483379,0.000897533890504598,0.0439646256729358,TRUE,FALSE,FALSE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.0268339619571375
"NR4A1",-1.46405911460469,4.94648528228889,11.518905085356,0.000941783504347648,0.0708787503187762,TRUE,FALSE,TRUE,FALSE,"Endocytes",10,107,16,91,TRUE,0.0274529891517339
"ALK",0.574436625514865,4.81082905447827,11.4937728747587,0.000975641833543156,0.0183080834404542,TRUE,FALSE,FALSE,FALSE,"Bergmann",10,108,16,92,TRUE,0.0277463019002761
"PRKCG",-0.589520631758132,5.09944953653964,10.8357307345863,0.00121453250907958,0.151152008111112,TRUE,FALSE,TRUE,TRUE,"PLI",10,107,16,91,TRUE,0.0337177358473047
"PRKCA",0.504455673049443,5.71756672169904,10.9270154354648,0.00128773662232987,0.0491584387006663,TRUE,FALSE,TRUE,TRUE,"Granule",10,109,16,93,TRUE,0.0349186256194564
"MAOA",0.840241501812256,2.66603273117103,10.622804661857,0.00137349115923421,0.0643667902350213,TRUE,FALSE,TRUE,FALSE,"OPC",10,108,16,92,TRUE,0.0363975157197065
"TRPV3",0.691348229949554,2.0924371926522,10.623275290063,0.00144198339054364,0.0231515435032274,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.0373633918527531
"PDE4B",-0.639749354694688,8.02027871402585,10.451992837812,0.00164061186297869,0.0568842187419223,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.0415859441789817
"MME",-1.33901015027645,3.34361550121794,10.1548397105582,0.00178107336477342,0.109046706064122,TRUE,FALSE,TRUE,FALSE,"Microglia",10,108,16,92,TRUE,0.0429496133348757
"EGFR",0.888935405385059,4.15279131845212,10.1723507237639,0.00178226315389902,0.277961428340595,TRUE,FALSE,FALSE,FALSE,"Purkinje",10,108,16,92,TRUE,0.0429496133348757
"PRKCA",0.459065389967188,6.49091443967122,10.1397210687252,0.00184721595026171,0.277961428340595,TRUE,FALSE,TRUE,TRUE,"Purkinje",10,108,16,92,TRUE,0.0429496133348757
"PPARA",0.389744591254751,3.73428507244483,10.1429203444661,0.00186962848327996,0.061986474622262,TRUE,FALSE,TRUE,TRUE,"Granule",10,109,16,93,TRUE,0.0429496133348757
"PPARA",0.623319719408425,4.43412416162138,10.0535355342903,0.00187858514586506,0.0978309341346651,TRUE,FALSE,TRUE,TRUE,"Golgi",10,106,16,90,TRUE,0.0429496133348757
"PRKCA",0.673363601248664,7.75103234911594,10.1389368129078,0.00192142349469753,0.066644936229058,TRUE,FALSE,TRUE,TRUE,"Astrocytes",10,108,16,92,TRUE,0.04308422682341
"MAOA",0.870128641117915,3.496756316859,9.57697556246705,0.00241221128218389,0.0744736956056033,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.0530686482080457
"PRKCA",0.412336637550383,7.69125140108143,9.59948220390136,0.00249472032779916,0.090124562192768,TRUE,FALSE,TRUE,TRUE,"OPC",10,108,16,92,TRUE,0.0538674796706263
"F3",0.778530068772031,-0.0382325264139029,9.39008089674045,0.00264523875959827,0.0731590714596548,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.0560790617034834
"KAT2B",0.27274879179995,7.06731131261569,9.13676127553554,0.00308897084471937,0.0853275302517343,TRUE,FALSE,FALSE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.0643167858025497
"FYN",0.223352118916963,8.40197968936542,8.90417628857752,0.00349723200284357,0.0418090706367147,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.0715398686897474
"PTPN1",-0.236531687871722,5.88123208312969,8.78748994419305,0.00368294110486298,0.317051182676051,TRUE,TRUE,TRUE,TRUE,"MLI_1",10,108,16,92,TRUE,0.0740398160046591
"POLA1",-0.222637579602029,6.83757570211105,8.74359290570564,0.00379413654037543,0.0445297781874983,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.0748915241957496
"EGFR",0.682456300558142,3.45302704809744,8.67664704292826,0.00385376625364063,0.320881982383781,TRUE,FALSE,FALSE,FALSE,"MLI_1",10,108,16,92,TRUE,0.0748915241957496
"PDE4D",0.415560305477585,8.94183146352144,8.65433911840028,0.00400367869084881,0.0462416582405713,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.0765293336644216
"PRKCA",0.606716764157063,8.35687397053892,8.62582685388506,0.00408411362570512,0.0469312916171684,TRUE,FALSE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.0768076852834221
"HSD11B1",0.558244155448495,1.05287763347799,8.07446438459982,0.0052798792259217,0.106452069652881,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.0977196694829317
"APEX1",-0.497854804720148,3.38173051432087,7.95029333043646,0.00558675269014261,0.357717426612718,TRUE,FALSE,FALSE,FALSE,"MLI_1",10,108,16,92,TRUE,0.100705640857226
"KDR",0.463127955609736,-0.447812658868036,7.8873239670167,0.00566586954067843,0.110186122237409,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.100705640857226
"STS",0.56020719200221,5.82972113958345,7.95556923004379,0.00570031929380525,0.359104490265801,TRUE,FALSE,TRUE,FALSE,"Purkinje",10,108,16,92,TRUE,0.100705640857226
