"logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","gene_symbol","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_carbonic_anhydrase_tests_within_threshold_supplementary"
0.856901079323845,0.704429296720319,13.4821649100555,0.000359294915081606,0.0228369999405773,"CA12","Granule",10,109,16,93,TRUE,0.0384445559137318
0.854322897017232,3.91902978926818,7.17938350042331,0.00829364639178547,0.381767899279384,"CA12","Purkinje",10,108,16,92,TRUE,0.364908148800812
0.682711455516241,3.6289896267991,6.83359443689437,0.0102310695925461,0.0823862551905077,"CA12","Bergmann",10,108,16,92,TRUE,0.364908148800812
0.578580872530525,3.80292220654802,4.31794948461258,0.0398568081270999,0.314122957427828,"CA12","Astrocytes",10,108,16,92,TRUE,0.861675173477898
0.485574689165422,1.66440071913375,3.87565158258577,0.0511284329712631,0.218655307157854,"CA2","Bergmann",10,108,16,92,FALSE,0.861675173477898
0.384955319290438,6.1904491874912,3.33550169717251,0.0706801680706645,0.425485870557099,"CA4","OPC",10,108,16,92,FALSE,0.861675173477898
0.355124051634331,6.1976164856054,3.20573428855453,0.0762910444394906,0.420446968250662,"CA4","Oligodendrocytes",10,108,16,92,FALSE,0.861675173477898
0.376206353781923,6.17930027546024,3.00135508150279,0.086168759042501,0.43457933124436,"CA4","Astrocytes",10,108,16,92,FALSE,0.861675173477898
0.488774992260547,6.22580245663111,2.63948555307555,0.107341757000625,0.709534331483252,"CA4","MLI_2",10,106,16,90,FALSE,0.861675173477898
0.3738004976324,6.68102012382013,2.58145988683815,0.110174073692836,0.567047396286158,"CA4","Pericytes",10,102,16,86,FALSE,0.861675173477898
0.255295921030632,5.00161947494829,2.53565597812544,0.113743188389494,0.644734425956646,"CA8","Golgi",10,106,16,90,FALSE,0.861675173477898
0.33459444179266,2.97868647626118,2.51637420413948,0.115101067459983,0.74170443929704,"CA9","MLI_1",10,108,16,92,FALSE,0.861675173477898
-0.222979577219717,4.60896591471318,2.49491748322826,0.116688725895389,0.642187685232059,"CA3","Microglia",10,108,16,92,FALSE,0.861675173477898
0.335413933501184,6.28374233093961,2.47540702482646,0.118664558564119,0.466909643378478,"CA4","Granule",10,109,16,93,FALSE,0.861675173477898
-0.267875324971061,4.66445962053065,2.44010188195815,0.120795585066995,0.747684714154476,"CA3","Purkinje",10,108,16,92,FALSE,0.861675173477898
0.0935257954568309,11.2652238751479,2.291071092245,0.132183852010194,0.595973167057444,"CA10","Pericytes",10,102,16,86,FALSE,0.868577165449585
0.415181049498063,4.43931561809969,2.17070887760867,0.143010766817604,0.73638444022566,"CA8","Endocytes",10,107,16,91,FALSE,0.868577165449585
0.214016902002317,0.599031632841073,2.13889505037077,0.146115784841986,0.506430396855624,"CA1","Granule",10,109,16,93,FALSE,0.868577165449585
0.330980134428527,6.33462770048728,2.04068916639729,0.1561390908406,0.687685581219444,"CA4","Microglia",10,108,16,92,FALSE,0.879309616839169
0.17356056394825,4.02724215607526,1.73320787729425,0.19038938088855,0.595202833450443,"CA13","Oligodendrocytes",10,108,16,92,FALSE,0.947228844335899
0.289179374710135,6.06891626210117,1.71960989440917,0.192658778917836,0.800536185386298,"CA4","MLI_1",10,108,16,92,FALSE,0.947228844335899
-0.130114408167622,10.7639607827354,1.69931138385889,0.195066270542979,0.461118440812214,"CA10","Bergmann",10,108,16,92,FALSE,0.947228844335899
0.196304377246772,5.51838645819267,1.57503243994464,0.211960190697578,0.796119613856152,"CA5B","Endocytes",10,107,16,91,FALSE,0.947228844335899
0.244079401629524,6.22966261512343,1.36218645368497,0.245732378200919,0.822088291290852,"CA4","PLI",10,107,16,91,FALSE,0.947228844335899
-0.174083595816448,4.94270110909141,1.35728850969039,0.246144477796241,0.762992762758043,"CA3","Golgi",10,106,16,90,FALSE,0.947228844335899
0.106209711756539,5.1459901868784,1.25156560509621,0.265503415059396,0.662751540422085,"CA5B","Oligodendrocytes",10,108,16,92,FALSE,0.947228844335899
0.262913599397797,6.099163846153,1.2231014989372,0.271314535554945,0.546853012105133,"CA4","Bergmann",10,108,16,92,FALSE,0.947228844335899
0.0835835067711072,5.13813135090871,1.12798760359301,0.290506523079341,0.566506894577635,"CA5B","Bergmann",10,108,16,92,FALSE,0.947228844335899
-0.104726196298031,5.153241490933,1.04755049870282,0.308117136414335,0.72277511979551,"CA5B","OPC",10,108,16,92,FALSE,0.947228844335899
